,budget,budget_upper_bound,max_neighborhood_size,n_players
0,11776,False,3,24
1,8960,False,3,23
2,3072,False,3,14
3,40960,False,3,18
4,9152,False,3,23
5,6400,False,3,18
6,256,False,3,8
7,4736,False,3,17
8,5120,False,3,13
9,6144,False,3,18
10,7936,False,3,24
11,83968,False,3,18
12,12224,False,3,24
13,4096,False,3,18
14,5632,False,3,16
15,8448,False,3,20
16,26112,False,3,23
17,7936,False,3,24
18,6528,False,3,23
19,24064,False,3,21
20,8960,False,3,24
21,46080,False,3,23
22,17152,False,3,20
23,5888,False,3,23
24,7616,False,3,24
25,12544,False,3,24
26,14336,False,3,24
27,13312,False,3,24
28,2560,False,3,15
29,9728,False,3,24
30,27904,False,3,25
31,17408,False,3,17
32,6400,False,3,20
33,56320,False,3,23
34,12800,False,3,21
35,15104,False,3,25
36,9728,False,3,20
37,9216,False,3,19
38,29184,False,3,23
39,458752,False,3,20
40,23040,False,3,20
41,165888,False,3,25
42,7680,False,3,17
43,10240,False,3,18
44,17408,False,3,23
45,27648,False,3,23
46,25600,False,3,24
47,10240,False,3,14
48,15872,False,3,25
49,9984,False,3,20
50,6912,False,3,20
51,6912,False,3,16
52,20480,False,3,15
53,512,False,3,9
54,23296,False,3,22
55,7424,False,3,24
56,2048,False,3,11
57,18560,False,3,21
58,9216,False,3,23
59,5120,False,3,23
60,9216,False,3,16
61,33792,False,3,24
62,71168,False,3,25
63,1024,False,3,14
64,22016,False,3,21
65,12544,False,3,24
66,3840,False,3,16
67,7936,False,3,22
68,12672,False,3,24
69,82944,False,3,24
70,19968,False,3,25
71,49152,False,3,23
72,26112,False,3,21
73,27392,False,3,23
74,8192,False,3,13
75,17408,False,3,24
76,8448,False,3,24
77,18432,False,3,24
78,8832,False,3,18
79,15232,False,3,25
80,24768,False,3,22
81,15552,False,3,24
82,18432,False,3,18
83,32256,False,3,24
84,13568,False,3,23
85,10752,False,3,24
86,1920,False,3,13
87,16128,False,3,23
88,320,False,3,9
89,4864,False,3,17
90,11392,False,3,25
91,8704,False,3,22
92,19200,False,3,24
93,3584,False,3,13
94,4864,False,3,22
95,16384,False,3,14
96,10368,False,3,23
97,6144,False,3,13
98,27648,False,3,23
99,13824,False,3,24
100,6656,False,3,19
101,12544,False,3,19
102,45568,False,3,23
103,145024,False,3,22
104,4608,False,3,19
105,5056,False,3,19
106,18944,False,3,24
107,1280,False,3,11
108,16128,False,3,22
109,8704,False,3,24
110,45056,False,3,20
111,11776,False,3,20
112,11776,False,3,16
113,7936,False,3,20
114,10496,False,3,21
115,19072,False,3,25
116,13056,False,3,25
117,50944,False,3,23
118,2624,False,3,20
119,4096,False,3,19
120,18176,False,3,25
121,10240,False,3,18
122,8192,False,3,21
123,6912,False,3,23
124,768,False,3,10
125,137216,False,3,25
126,6400,False,3,16
127,2880,False,3,17
128,2944,False,3,18
129,8192,False,3,23
130,9216,False,3,23
131,14336,False,3,23
132,9600,False,3,22
133,6912,False,3,20
134,7424,False,3,21
135,29696,False,3,19
136,3840,False,3,23
137,16896,False,3,22
138,15872,False,3,21
139,6656,False,3,22
140,21504,False,3,16
141,557568,False,3,25
142,15488,False,3,24
143,7040,False,3,21
144,22784,False,3,23
145,7872,False,3,21
146,88832,False,3,22
147,8192,False,3,13
148,34304,False,3,25
149,7040,False,3,23
150,22016,False,3,25
151,16896,False,3,23
152,11776,False,3,20
153,6912,False,3,20
154,8192,False,3,13
155,4736,False,3,20
156,20096,False,3,23
157,20480,False,3,17
158,14592,False,3,22
159,9984,False,3,25
160,7424,False,3,24
161,9984,False,3,25
162,6144,False,3,20
163,8448,False,3,23
164,13056,False,3,22
165,3584,False,3,15
166,7168,False,3,20
167,64,False,3,6
168,13568,False,3,25
169,2048,False,3,11
170,9472,False,3,25
171,32256,False,3,24
172,15040,False,3,22
173,7680,False,3,17
174,17408,False,3,21
175,6144,False,3,15
176,83968,False,3,22
177,5376,False,3,23
178,512,False,3,9
179,13312,False,3,20
180,20992,False,3,17
181,6336,False,3,22
182,18688,False,3,22
183,15616,False,3,25
184,15616,False,3,18
185,34048,False,3,24
186,12544,False,3,21
187,9216,False,3,14
188,16384,False,3,23
189,3456,False,3,18
190,14336,False,3,21
191,163584,False,3,25
192,9984,False,3,21
193,16704,False,3,24
194,14592,False,3,23
195,8320,False,3,23
196,3072,False,3,12
197,19968,False,3,23
198,2048,False,3,11
199,8192,False,3,23
200,17792,False,3,23
201,4352,False,3,25
202,9216,False,3,19
203,4224,False,3,17
204,7424,False,3,25
205,282624,False,3,25
206,35584,False,3,25
207,51200,False,3,20
208,9728,False,3,23
209,5632,False,3,18
210,8832,False,3,20
211,3584,False,3,13
212,84928,False,3,22
213,27136,False,3,24
214,97024,False,3,18
215,20480,False,3,23
216,85504,False,3,20
217,21504,False,3,24
218,36352,False,3,22
219,8320,False,3,25
220,13568,False,3,17
221,6272,False,3,21
222,10240,False,3,19
223,3072,False,3,14
224,9728,False,3,25
225,10432,False,3,19
226,35008,False,3,25
227,18944,False,3,25
228,33280,False,3,25
229,309632,False,3,25
230,20992,False,3,24
231,31232,False,3,22
232,512,False,3,9
233,18432,False,3,21
234,19072,False,3,21
235,31744,False,3,22
