,budget,budget_upper_bound,max_neighborhood_size,n_players
0,73728,False,4,24
1,69632,False,4,23
2,16384,False,4,14
3,262144,False,4,18
4,77824,False,4,23
5,77824,False,4,18
6,256,False,4,8
7,22528,False,4,17
8,8192,False,4,13
9,53248,False,4,18
10,54272,False,4,24
11,262144,False,4,18
12,57344,False,4,24
13,28672,False,4,18
14,40960,False,4,16
15,98304,False,4,20
16,368640,False,4,23
17,63488,False,4,24
18,43008,False,4,23
19,376832,False,4,21
20,55296,False,4,24
21,458752,False,4,23
22,114688,False,4,20
23,35840,False,4,23
24,29952,False,4,24
25,102400,False,4,24
26,96256,False,4,24
27,159744,False,4,24
28,14336,False,4,15
29,56320,False,4,24
30,294912,False,4,25
31,81920,False,4,17
32,32768,False,4,20
33,475136,False,4,23
34,88064,False,4,21
35,147456,False,4,25
36,106496,False,4,20
37,94208,False,4,19
38,315392,False,4,23
39,1048576,False,4,20
40,212992,False,4,20
41,5799936,False,4,25
42,53248,False,4,17
43,90112,False,4,18
44,172032,False,4,23
45,241664,False,4,23
46,368640,False,4,24
47,16384,False,4,14
48,114688,False,4,25
49,62464,False,4,20
50,61440,False,4,20
51,65536,False,4,16
52,32768,False,4,15
53,512,False,4,9
54,350208,False,4,22
55,52224,False,4,24
56,2048,False,4,11
57,143360,False,4,21
58,97280,False,4,23
59,22528,False,4,23
60,49152,False,4,16
61,344064,False,4,24
62,1212416,False,4,25
63,4096,False,4,14
64,393216,False,4,21
65,98304,False,4,24
66,36864,False,4,16
67,67584,False,4,22
68,120832,False,4,24
69,753664,False,4,24
70,278528,False,4,25
71,1376256,False,4,23
72,262144,False,4,21
73,153600,False,4,23
74,8192,False,4,13
75,172032,False,4,24
76,59392,False,4,24
77,163840,False,4,24
78,53248,False,4,18
79,104448,False,4,25
80,169984,False,4,22
81,101376,False,4,24
82,262144,False,4,18
83,557056,False,4,24
84,114688,False,4,23
85,313344,False,4,24
86,6144,False,4,13
87,110592,False,4,23
88,512,False,4,9
89,45056,False,4,17
90,79872,False,4,25
91,61440,False,4,22
92,233472,False,4,24
93,8192,False,4,13
94,30720,False,4,22
95,16384,False,4,14
96,59392,False,4,23
97,8192,False,4,13
98,512000,False,4,23
99,147456,False,4,24
100,55296,False,4,19
101,106496,False,4,19
102,344064,False,4,23
103,1081344,False,4,22
104,30720,False,4,19
105,24576,False,4,19
106,159744,False,4,24
107,2048,False,4,11
108,126976,False,4,22
109,65536,False,4,24
110,589824,False,4,20
111,98304,False,4,20
112,65536,False,4,16
113,53248,False,4,20
114,106496,False,4,21
115,118784,False,4,25
116,81920,False,4,25
117,1327104,False,4,23
118,9984,False,4,20
119,23552,False,4,19
120,345088,False,4,25
121,114688,False,4,18
122,63488,False,4,21
123,38912,False,4,23
124,1024,False,4,10
125,4063232,False,4,25
126,49152,False,4,16
127,13312,False,4,17
128,14336,False,4,18
129,57344,False,4,23
130,75776,False,4,23
131,131072,False,4,23
132,59392,False,4,22
133,45056,False,4,20
134,30720,False,4,21
135,196608,False,4,19
136,29696,False,4,23
137,143360,False,4,22
138,180224,False,4,21
139,49152,False,4,22
140,65536,False,4,16
141,12007296,True,4,25
142,90112,False,4,24
143,65536,False,4,21
144,368640,False,4,23
145,60416,False,4,21
146,1212416,False,4,22
147,8192,False,4,13
148,475136,False,4,25
149,47104,False,4,23
150,253952,False,4,25
151,139264,False,4,23
152,114688,False,4,20
153,32768,False,4,20
154,8192,False,4,13
155,19968,False,4,20
156,290816,False,4,23
157,131072,False,4,17
158,102400,False,4,22
159,225280,False,4,25
160,40960,False,4,24
161,75776,False,4,25
162,47104,False,4,20
163,51200,False,4,23
164,102400,False,4,22
165,16384,False,4,15
166,40960,False,4,20
167,64,False,4,6
168,106496,False,4,25
