,budget,budget_upper_bound,max_neighborhood_size,n_players
0,147,False,1,24
1,122,False,1,23
2,74,False,1,14
3,106,False,1,18
4,118,False,1,23
5,93,False,1,18
6,36,False,1,8
7,89,False,1,17
8,69,False,1,13
9,93,False,1,18
10,131,False,1,24
11,106,False,1,18
12,157,False,1,24
13,98,False,1,18
14,86,False,1,16
15,101,False,1,20
16,147,False,1,23
17,130,False,1,24
18,129,False,1,23
19,113,False,1,21
20,135,False,1,24
21,134,False,1,23
22,110,False,1,20
23,122,False,1,23
24,134,False,1,24
25,139,False,1,24
26,148,False,1,24
27,127,False,1,24
28,78,False,1,15
29,131,False,1,24
30,155,False,1,25
31,115,False,1,17
32,106,False,1,20
33,152,False,1,23
34,123,False,1,21
35,151,False,1,25
36,101,False,1,20
37,106,False,1,19
38,147,False,1,23
39,151,False,1,20
40,114,False,1,20
41,134,False,1,25
42,94,False,1,17
43,103,False,1,18
44,131,False,1,23
45,135,False,1,23
46,135,False,1,24
47,86,False,1,14
48,143,False,1,25
49,114,False,1,20
50,110,False,1,20
51,92,False,1,16
52,86,False,1,15
53,54,False,1,9
54,118,False,1,22
55,135,False,1,24
56,66,False,1,11
57,118,False,1,21
58,122,False,1,23
59,125,False,1,23
60,95,False,1,16
61,139,False,1,24
62,155,False,1,25
63,65,False,1,14
64,118,False,1,21
65,151,False,1,24
66,97,False,1,16
67,122,False,1,22
68,135,False,1,24
69,147,False,1,24
70,133,False,1,25
71,127,False,1,23
72,131,False,1,21
73,139,False,1,23
74,91,False,1,13
75,138,False,1,24
76,122,False,1,24
77,130,False,1,24
78,98,False,1,18
79,138,False,1,25
80,122,False,1,22
81,131,False,1,24
82,98,False,1,18
83,130,False,1,24
84,127,False,1,23
85,126,False,1,24
86,65,False,1,13
87,131,False,1,23
88,36,False,1,9
89,90,False,1,17
90,143,False,1,25
91,143,False,1,22
92,147,False,1,24
93,69,False,1,13
94,114,False,1,22
95,121,False,1,14
96,131,False,1,23
97,73,False,1,13
98,131,False,1,23
99,139,False,1,24
100,114,False,1,19
101,115,False,1,19
102,136,False,1,23
103,126,False,1,22
104,102,False,1,19
105,111,False,1,19
106,138,False,1,24
107,52,False,1,11
108,134,False,1,22
109,127,False,1,24
110,127,False,1,20
111,111,False,1,20
112,97,False,1,16
113,110,False,1,20
114,114,False,1,21
115,143,False,1,25
116,143,False,1,25
117,127,False,1,23
118,97,False,1,20
119,114,False,1,19
120,130,False,1,25
121,114,False,1,18
122,126,False,1,21
123,123,False,1,23
124,44,False,1,10
125,159,False,1,25
126,77,False,1,16
127,85,False,1,17
128,93,False,1,18
129,126,False,1,23
130,126,False,1,23
131,131,False,1,23
132,118,False,1,22
133,110,False,1,20
134,117,False,1,21
135,106,False,1,19
136,118,False,1,23
137,131,False,1,22
138,131,False,1,21
139,119,False,1,22
140,90,False,1,16
141,156,False,1,25
142,139,False,1,24
143,119,False,1,21
144,134,False,1,23
145,109,False,1,21
146,139,False,1,22
147,82,False,1,13
148,163,False,1,25
149,121,False,1,23
150,151,False,1,25
151,139,False,1,23
152,118,False,1,20
153,106,False,1,20
154,74,False,1,13
155,114,False,1,20
156,133,False,1,23
157,98,False,1,17
158,123,False,1,22
159,130,False,1,25
160,138,False,1,24
161,139,False,1,25
162,102,False,1,20
163,127,False,1,23
164,122,False,1,22
165,77,False,1,15
166,115,False,1,20
167,24,False,1,6
168,139,False,1,25
169,61,False,1,11
170,130,False,1,25
171,148,False,1,24
172,114,False,1,22
173,80,False,1,17
174,133,False,1,21
175,86,False,1,15
176,160,False,1,22
177,130,False,1,23
178,41,False,1,9
179,110,False,1,20
180,107,False,1,17
181,121,False,1,22
182,134,False,1,22
183,148,False,1,25
184,102,False,1,18
185,143,False,1,24
186,113,False,1,21
187,85,False,1,14
188,122,False,1,23
189,94,False,1,18
190,126,False,1,21
191,156,False,1,25
192,143,False,1,21
193,145,False,1,24
194,134,False,1,23
195,121,False,1,23
196,66,False,1,12
197,142,False,1,23
198,69,False,1,11
199,131,False,1,23
200,130,False,1,23
201,127,False,1,25
202,101,False,1,19
203,89,False,1,17
204,143,False,1,25
205,147,False,1,25
206,156,False,1,25
207,119,False,1,20
208,130,False,1,23
209,98,False,1,18
210,101,False,1,20
211,65,False,1,13
212,126,False,1,22
213,144,False,1,24
214,111,False,1,18
215,122,False,1,23
216,135,False,1,20
217,144,False,1,24
218,127,False,1,22
219,146,False,1,25
220,102,False,1,17
221,110,False,1,21
222,119,False,1,19
223,60,False,1,14
224,151,False,1,25
225,121,False,1,19
226,139,False,1,25
227,139,False,1,25
228,148,False,1,25
229,172,False,1,25
230,147,False,1,24
231,132,False,1,22
232,49,False,1,9
233,122,False,1,21
234,118,False,1,21
235,151,False,1,22
236,119,False,1,20
237,139,False,1,24
238,84,False,1,16
239,97,False,1,19
240,134,False,1,25
241,138,False,1,25
242,131,False,1,24
243,61,False,1,12
244,123,False,1,22
245,135,False,1,23
246,148,False,1,25
247,94,False,1,16
248,86,False,1,15
249,151,False,1,25
250,127,False,1,24
251,65,False,1,11
252,118,False,1,23
253,159,False,1,24
254,128,False,1,21
255,76,False,1,14
256,193,False,1,25
257,81,False,1,16
258,122,False,1,21
259,134,False,1,22
260,172,False,1,25
261,151,False,1,24
262,135,False,1,24
263,113,False,1,20
264,127,False,1,22
265,98,False,1,18
266,114,False,1,20
267,85,False,1,17
268,94,False,1,15
269,96,False,1,18
270,85,False,1,17
271,118,False,1,22
272,127,False,1,22
273,114,False,1,20
274,85,False,1,15
275,73,False,1,15
276,125,False,1,23
277,126,False,1,24
278,109,False,1,19
279,102,False,1,19
280,110,False,1,19
281,143,False,1,24
282,114,False,1,20
283,32,False,1,8
284,56,False,1,13
285,124,False,1,21
286,80,False,1,13
287,110,False,1,21
288,107,False,1,19
289,147,False,1,25
290,122,False,1,23
291,98,False,1,18
292,135,False,1,23
293,73,False,1,12
294,143,False,1,25
295,69,False,1,13
296,114,False,1,22
297,105,False,1,20
298,135,False,1,25
299,86,False,1,16
300,135,False,1,24
301,134,False,1,23
302,152,False,1,25
303,41,False,1,8
304,138,False,1,24
305,156,False,1,25
306,126,False,1,24
307,108,False,1,19
308,86,False,1,16
309,139,False,1,25
310,85,False,1,17
311,142,False,1,23
312,126,False,1,23
313,111,False,1,20
314,137,False,1,22
315,147,False,1,25
316,130,False,1,24
317,136,False,1,21
318,122,False,1,23
319,97,False,1,16
320,131,False,1,23
321,123,False,1,16
322,138,False,1,25
323,150,False,1,25
324,130,False,1,21
325,98,False,1,18
326,61,False,1,12
327,140,False,1,25
328,131,False,1,22
329,122,False,1,21
330,143,False,1,25
331,118,False,1,22
332,94,False,1,18
333,163,False,1,25
334,52,False,1,11
335,119,False,1,19
336,151,False,1,25
337,107,False,1,19
338,117,False,1,23
339,144,False,1,25
340,142,False,1,23
341,150,False,1,23
342,123,False,1,22
343,126,False,1,23
344,102,False,1,20
345,73,False,1,15
346,156,False,1,25
347,61,False,1,11
348,127,False,1,22
349,129,False,1,24
350,73,False,1,16
351,134,False,1,25
352,134,False,1,23
353,102,False,1,19
354,106,False,1,20
355,150,False,1,25
356,122,False,1,24
357,125,False,1,22
358,134,False,1,24
359,61,False,1,12
360,154,False,1,24
361,151,False,1,25
362,97,False,1,17
363,89,False,1,18
364,142,False,1,24
365,127,False,1,21
366,136,False,1,21
367,97,False,1,18
368,89,False,1,16
369,109,False,1,18
370,146,False,1,23
371,109,False,1,18
